idx,steps,episodes,reward,time,agent0_reward,agent1_reward,agent2_reward,agent3_reward,agent4_reward,agent5_reward
846,499730,8470,-6.476,22.596,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
847,500320,8480,-6.97,22.579,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
848,500910,8490,-7.656,22.579,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28
849,501500,8500,-6.814,22.595,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
850,502090,8510,-6.666,22.579,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
851,502680,8520,-6.3,22.595,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
852,503270,8530,-6.298,22.58,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
853,503860,8540,-7.568,22.61,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26
854,504450,8550,-7.306,22.595,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22
855,505040,8560,-6.727,22.563,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
856,505630,8570,-6.4,22.61,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
857,506220,8580,-6.536,23.032,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
858,506810,8590,-6.973,22.704,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
859,507400,8600,-7.437,22.673,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24
860,507990,8610,-6.734,22.689,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
861,508580,8620,-6.578,22.563,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
862,509170,8630,-6.557,22.548,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
863,509760,8640,-6.357,22.548,-1.06,-1.06,-1.06,-1.06,-1.06,-1.06
864,510350,8650,-6.938,22.548,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16
865,510940,8660,-7.891,22.595,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32
866,511530,8670,-6.743,22.595,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
