id,dataset,index,longitude
GOMu0.04_84,GOMu0.04/expt_90.1m000,84,-94.6400146484375
GOMu0.04_85,GOMu0.04/expt_90.1m000,85,-94.5999755859375
GOMu0.04_86,GOMu0.04/expt_90.1m000,86,-94.55999755859375
GOMu0.04_87,GOMu0.04/expt_90.1m000,87,-94.52001953125
GOMu0.04_88,GOMu0.04/expt_90.1m000,88,-94.47998046875
GOMu0.04_89,GOMu0.04/expt_90.1m000,89,-94.44000244140625
GOMu0.04_90,GOMu0.04/expt_90.1m000,90,-94.4000244140625
GOMu0.04_91,GOMu0.04/expt_90.1m000,91,-94.3599853515625
GOMu0.04_92,GOMu0.04/expt_90.1m000,92,-94.32000732421875
GOMu0.04_93,GOMu0.04/expt_90.1m000,93,-94.280029296875
GOMu0.04_94,GOMu0.04/expt_90.1m000,94,-94.239990234375
GOMu0.04_95,GOMu0.04/expt_90.1m000,95,-94.20001220703125
GOMu0.04_96,GOMu0.04/expt_90.1m000,96,-94.1600341796875
GOMu0.04_97,GOMu0.04/expt_90.1m000,97,-94.1199951171875
GOMu0.04_98,GOMu0.04/expt_90.1m000,98,-94.08001708984375
GOMu0.04_99,GOMu0.04/expt_90.1m000,99,-94.03997802734375
GOMu0.04_100,GOMu0.04/expt_90.1m000,100,-94.0
GOMu0.04_101,GOMu0.04/expt_90.1m000,101,-93.96002197265625
GOMu0.04_102,GOMu0.04/expt_90.1m000,102,-93.91998291015625
GOMu0.04_103,GOMu0.04/expt_90.1m000,103,-93.8800048828125
GOMu0.04_104,GOMu0.04/expt_90.1m000,104,-93.8399658203125
GOMu0.04_105,GOMu0.04/expt_90.1m000,105,-93.79998779296875
GOMu0.04_106,GOMu0.04/expt_90.1m000,106,-93.760009765625
GOMu0.04_107,GOMu0.04/expt_90.1m000,107,-93.719970703125
GOMu0.04_108,GOMu0.04/expt_90.1m000,108,-93.67999267578125
GOMu0.04_109,GOMu0.04/expt_90.1m000,109,-93.6400146484375
GOMu0.04_110,GOMu0.04/expt_90.1m000,110,-93.5999755859375
GOMu0.04_111,GOMu0.04/expt_90.1m000,111,-93.55999755859375
GOMu0.04_112,GOMu0.04/expt_90.1m000,112,-93.52001953125
GOMu0.04_113,GOMu0.04/expt_90.1m000,113,-93.47998046875
GOMu0.04_114,GOMu0.04/expt_90.1m000,114,-93.44000244140625
GOMu0.04_115,GOMu0.04/expt_90.1m000,115,-93.4000244140625
GOMu0.04_116,GOMu0.04/expt_90.1m000,116,-93.3599853515625
GOMu0.04_117,GOMu0.04/expt_90.1m000,117,-93.32000732421875
GOMu0.04_118,GOMu0.04/expt_90.1m000,118,-93.280029296875
